Nombre,TipoVia,Tramo,Numero,Zona,DS,Codigo
"MANUEL DE FALLA",CALLE,COMPLETO,0,CENTRO,"6_3,6_18",3039
"MANUEL MONTESINO ANILLO",CALLE,COMPLETO,0,NORTE,1_6,166
"MANUEL ROLDAN",CALLE,COMPLETO,0,NORTE,"2_1,3_2,3_6",1097
MARCONI,CALLE,COMPLETO,0,NORTE,3_2,1101
"MARIA AUXILIADORA",CALLE,COMPLETO,0,SUR,6_24,1015
"MARIANA DE ARTEAGA",CALLE,COMPLETO,0,CENTRO,"6_2,6_3,6_18",1069
"MARIANA DE PINEDA",CALLE,COMPLETO,0,NORTE,"2_1,3_2",122
"MARINA (DE LA)",AVDA,COMPLETO,0,SUR,"6_6,6_20",49
"MARINA (LA)",CLLON,COMPLETO,0,NORTE,1_17,338
MARISMAS,CALLE,COMPLETO,0,CENTRO,6_21,2135
